Instance_Type,Rate,vCPU,Memory
c5a.12xlarge,1.848,48,96
c5a.16xlarge,2.464,64,128
c5a.24xlarge,3.696,96,192
c5a.2xlarge,0.308,8,16
c5a.4xlarge,0.616,16,32
c5a.8xlarge,1.232,32,64
c5a.large,0.077,2,4
c5a.xlarge,0.154,4,8
c6a.12xlarge,1.836,48,96
c6a.16xlarge,2.448,64,128
c6a.24xlarge,3.672,96,192
c6a.2xlarge,0.306,8,16
c6a.32xlarge,4.896,128,256
c6a.48xlarge,7.344,192,384
c6a.4xlarge,0.612,16,32
c6a.8xlarge,1.224,32,64
c6a.large,0.077,2,4
c6a.xlarge,0.153,4,8
c7a.12xlarge,2.463,48,96
c7a.16xlarge,3.284,64,128
c7a.24xlarge,4.927,96,192
c7a.2xlarge,0.411,8,16
c7a.32xlarge,6.569,128,256
c7a.48xlarge,9.853,192,384
c7a.4xlarge,0.821,16,32
c7a.8xlarge,1.642,32,64
c7a.large,0.103,2,4
c7a.medium,0.051,1,2
c7a.xlarge,0.205,4,8
m5a.12xlarge,2.064,48,192
m5a.16xlarge,2.752,64,256
m5a.24xlarge,4.128,96,384
m5a.2xlarge,0.344,8,32
m5a.4xlarge,0.688,16,64
m5a.8xlarge,1.376,32,128
m5a.large,0.086,2,8
m5a.xlarge,0.172,4,16
m6a.12xlarge,2.074,48,192
m6a.16xlarge,2.765,64,256
m6a.24xlarge,4.147,96,384
m6a.2xlarge,0.346,8,32
m6a.32xlarge,5.530,128,512
m6a.48xlarge,8.294,192,768
m6a.4xlarge,0.691,16,64
m6a.8xlarge,1.382,32,128
m6a.large,0.086,2,8
m6a.xlarge,0.173,4,16
m7a.12xlarge,2.782,48,192
m7a.16xlarge,3.709,64,256
m7a.24xlarge,5.564,96,384
m7a.2xlarge,0.464,8,32
m7a.32xlarge,7.419,128,512
m7a.48xlarge,11.128,192,768
m7a.4xlarge,0.927,16,64
m7a.8xlarge,1.855,32,128
m7a.large,0.116,2,8
m7a.medium,0.058,1,4
m7a.xlarge,0.232,4,16
r5a.12xlarge,2.712,48,384
r5a.16xlarge,3.616,64,512
r5a.24xlarge,5.424,96,768
r5a.2xlarge,0.452,8,64
r5a.4xlarge,0.904,16,128
r5a.8xlarge,1.808,32,256
r5a.large,0.113,2,16
r5a.xlarge,0.226,4,32
r6a.12xlarge,2.722,48,384
r6a.16xlarge,3.629,64,512
r6a.24xlarge,5.443,96,768
r6a.2xlarge,0.454,8,64
r6a.32xlarge,7.258,128,1024
r6a.48xlarge,10.886,192,1536
r6a.4xlarge,0.907,16,128
r6a.8xlarge,1.814,32,256
r6a.large,0.113,2,16
r6a.xlarge,0.227,4,32
r7a.12xlarge,3.652,48,384
r7a.16xlarge,4.869,64,512
r7a.24xlarge,7.303,96,768
r7a.2xlarge,0.609,8,64
r7a.32xlarge,9.738,128,1024
r7a.48xlarge,14.606,192,1536
r7a.4xlarge,1.217,16,128
r7a.8xlarge,2.434,32,256
r7a.large,0.152,2,16
r7a.medium,0.076,1,8
r7a.xlarge,0.304,4,32
